City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,vikhorevka,56.1201,101.1636,289.92,96,39,0.83,RU,1720385439
198,san antonio de pale,-1.4014,5.6325,295.77,85,12,4.87,GQ,1720385440
199,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,100,100,0.0,RU,1720385306
200,grabo,57.8363,12.2995,286.75,86,20,3.6,SE,1720385442
201,sarpol-e zahab,34.4611,45.8626,302.3,27,0,2.06,IR,1720385443
202,mount pearl,47.5166,-52.7813,290.62,96,100,6.17,CA,1720385444
203,flying fish cove,-10.4217,105.6791,298.97,94,100,4.63,CX,1720385446
204,cordoba,-31.4135,-64.1811,283.94,32,0,3.09,AR,1720385447
205,papatowai,-46.5619,169.4708,281.45,84,96,5.98,NZ,1720385448
206,kailua-kona,19.6406,-155.9956,300.53,79,20,3.09,US,1720385449
207,estreito,-5.7833,-43.25,300.41,62,94,1.03,BR,1720385450
208,badger,64.8,-147.5333,285.29,84,75,5.66,US,1720385451
209,cadale,2.7603,46.3222,297.93,83,88,8.46,SO,1720385453
210,sisimiut,66.9395,-53.6735,279.18,93,100,3.63,GL,1720385454
211,montefrio,37.3231,-4.009,297.55,30,0,1.39,ES,1720385455
212,idfu,24.9803,32.8747,305.97,20,12,5.97,EG,1720385456
213,punta del este,-34.9667,-54.95,280.21,83,75,5.36,UY,1720385457
214,talcahuano,-36.7167,-73.1167,284.97,62,0,4.63,CL,1720385458
215,maslova pristan',50.4587,36.7408,293.79,68,0,3.38,RU,1720385460
216,palu,-0.8917,119.8707,297.7,100,100,1.1,ID,1720385461
217,antsiranana,-12.2787,49.2917,295.73,87,100,4.18,MG,1720385462
218,mata-utu,-13.2816,-176.1745,300.69,79,49,11.49,WF,1720385463
219,kormilovka,55.0026,74.1028,288.86,84,100,4.57,RU,1720385464
220,malanje,-9.5402,16.341,291.61,23,20,1.1,AO,1720385465
221,namibe,-15.1961,12.1522,289.61,88,4,1.61,AO,1720385466
222,morehead city,34.7229,-76.726,305.16,74,0,7.72,US,1720385468
223,ust-nera,64.5667,143.2,281.93,88,99,2.63,RU,1720385469
224,qingdao,36.0986,120.3719,295.93,100,75,1.0,CN,1720385470
225,al kharijah,25.4514,30.5464,303.2,26,7,2.34,EG,1720385471
226,san fernando,15.0286,120.6898,299.0,90,99,0.81,PH,1720385472
227,usinsk,65.9939,57.5281,288.69,78,100,4.22,RU,1720385473
228,tabuk,17.4189,121.4443,295.98,83,77,1.65,PH,1720385475
229,esenyurt,41.0333,28.6753,297.66,78,0,5.14,TR,1720385476
230,villamontes,-21.25,-63.5,286.6,38,98,3.29,BO,1720385477
231,anadyr,64.75,177.4833,285.43,93,100,10.0,RU,1720385478
232,catemaco,18.4167,-95.1167,304.23,60,62,0.96,MX,1720385479
